Contribuinte_ID,Nome,CPF,Ano_Referência,Renda_Declarada(R$),Imposto_Devido(R$),Imposto_Pago(R$),Valor_Não_Declarado(R$),Déficit_Declaração(%),Situação,Data_Envio,Estado,Fonte_de_Renda,Número_de_Bens_Declarados,Total_de_Deduções(R$),Imposto_Restituição(R$),Faixa_Imposto,Recebeu_Multas?,Valor_Multas(R$)
93757,Gabriela Santos,697.998.768-72,2023,250032.95,19841.92,20095.4,10445.75,31.04,Auditoria,2024-04-08,PE,Empregado CLT,10,36711.33,5196.14,27.5%,Não,7696.74
33778,Lucas Oliveira,130.997.365-43,2022,172368.42,31828.83,27008.41,24730.22,39.75,Auditoria,2024-07-03,MG,Autônomo,6,30461.73,1018.76,15%,Sim,5390.05
54263,Carlos Silva,777.531.859-39,2024,226034.69,33018.49,43754.53,47760.25,26.93,Regular,2024-05-05,SP,Aposentado,9,20318.43,5510.84,7.5%,Sim,5649.56
74634,Fernanda Lima,452.813.945-22,2023,481194.76,27867.4,24015.58,44621.02,34.5,Pendência,2025-02-21,RJ,Investidor,0,53839.34,8970.87,22.5%,Não,6113.32
24031,Vanessa Almeida,584.478.543-70,2022,53177.12,7430.88,21333.39,20054.45,29.48,Pendência,2024-05-08,GO,Autônomo,7,56600.81,2456.67,27.5%,Sim,6671.1
25196,Ana Clara Mendes,444.814.107-33,2024,38089.6,8320.06,24225.57,1294.31,25.45,Regular,2024-07-19,RJ,Empregado CLT,5,47317.91,624.4,7.5%,Sim,4702.44
92368,João Pereira,474.304.783-43,2023,237057.85,11284.3,4303.65,32041.24,5.26,Pendência,2024-12-12,SP,Empresário,1,49647.79,3014.09,22.5%,Sim,1495.14
78830,Carlos Silva,915.505.978-85,2024,491116.47,7697.2,23356.06,8963.96,36.1,Regular,2024-03-17,PR,Aposentado,7,42355.52,2966.86,27.5%,Não,7245.44
38252,Roberto Souza,882.214.545-76,2024,342584.57,25766.66,40844.86,46063.8,31.01,Pendência,2024-12-27,BA,Aposentado,3,40227.67,4688.71,Isento,Não,7683.36
74655,Vanessa Almeida,588.942.987-43,2022,310166.95,13161.22,13937.02,12227.05,34.61,Regular,2024-11-17,DF,Investidor,4,48539.21,1109.79,22.5%,Sim,9132.04
38095,Vanessa Almeida,816.761.509-40,2022,471504.57,12293.6,17791.51,20549.54,27.29,Auditoria,2025-01-11,AM,Investidor,6,42027.93,6380.67,15%,Não,720.2
53717,Ana Clara Mendes,695.590.995-32,2022,225530.02,23938.76,4528.07,41305.46,34.29,Auditoria,2024-07-28,RJ,Empregado CLT,9,19581.97,540.93,7.5%,Não,3958.38
70531,João Pereira,659.868.514-18,2023,357353.42,44557.41,41397.19,17520.06,8.74,Pendência,2024-09-05,RS,Autônomo,3,29523.64,9471.86,7.5%,Sim,9774.31
66317,Ana Clara Mendes,408.742.716-71,2022,137586.76,30449.11,37477.14,18933.21,34.94,Regular,2025-02-13,DF,Investidor,7,31319.95,2247.99,22.5%,Não,1439.97
63583,João Pereira,836.808.504-28,2022,31728.38,14081.1,6807.21,3548.48,39.5,Notificação,2024-10-04,RS,Investidor,1,3236.52,6699.61,22.5%,Não,89.56
80669,Mariana Rocha,617.505.877-87,2022,200302.05,35713.25,34657.22,18354.77,26.13,Notificação,2024-12-04,BA,Empresário,5,27709.3,1122.11,7.5%,Não,6980.28
71459,João Pereira,567.308.897-95,2023,415143.77,11498.05,10235.36,25459.96,39.15,Auditoria,2024-09-07,SC,Investidor,7,30019.59,6193.34,7.5%,Sim,610.22
22896,Paulo Henrique,554.317.910-81,2023,193116.94,44805.92,1139.42,11845.22,37.64,Regular,2024-11-29,PB,Autônomo,2,50895.51,2521.3,27.5%,Sim,3178.93
55207,Roberto Souza,874.692.748-52,2023,372276.28,34237.39,22765.74,47027.08,30.13,Notificação,2024-11-09,PE,Autônomo,7,44154.33,1034.43,15%,Não,3370.05
26236,João Pereira,516.357.296-46,2022,286242.54,20331.82,5797.04,42354.06,35.04,Regular,2024-07-07,DF,Autônomo,7,22210.08,8869.46,7.5%,Não,1865.18
51483,Mariana Rocha,165.247.583-40,2023,58971.12,12267.7,25518.66,9793.21,33.85,Notificação,2025-02-09,RS,Empregado CLT,8,30945.71,597.65,22.5%,Sim,525.63
31999,Fernanda Lima,271.941.390-29,2023,377557.94,1287.82,43863.56,9543.45,8.01,Regular,2024-07-24,SC,Empregado CLT,5,59174.96,9265.43,7.5%,Não,1621.83
26254,Lucas Oliveira,208.921.864-12,2024,453757.26,26509.69,3129.75,47044.18,14.17,Notificação,2024-05-12,PE,Empresário,8,11064.58,8719.68,Isento,Não,6908.33
26934,Gabriela Santos,153.537.869-32,2023,43988.79,19735.1,26777.49,2825.87,13.61,Regular,2024-11-13,ES,Empresário,7,21098.46,940.27,27.5%,Não,3563.42
89464,Carlos Silva,534.639.554-35,2023,246201.84,16475.78,41110.77,49857.83,5.71,Pendência,2024-06-03,ES,Empresário,2,58457.77,1034.42,15%,Não,7832.17
86790,Thiago Nunes,979.914.295-23,2023,329371.62,13690.1,37450.78,9105.85,31.34,Auditoria,2024-10-24,DF,Empregado CLT,1,6471.14,2546.91,27.5%,Não,9483.05
83996,Eduardo Farias,918.567.993-72,2023,393183.54,7679.09,4405.88,49030.81,29.12,Regular,2024-04-11,AM,Empresário,2,18338.14,201.79,15%,Sim,7708.16
24027,Eduardo Farias,772.870.926-63,2024,238041.56,31558.67,25874.64,6830.31,13.83,Auditoria,2024-05-30,SC,Empregado CLT,1,57534.01,587.52,15%,Sim,2326.23
54442,Vanessa Almeida,563.760.660-83,2024,456834.6,1775.85,34529.76,29820.24,17.49,Regular,2024-04-16,MT,Investidor,10,43572.72,879.2,15%,Não,5512.09
74193,Fernanda Lima,595.323.154-68,2022,386494.31,17804.4,36565.66,19270.03,29.77,Pendência,2024-06-26,PB,Empregado CLT,8,54267.56,6612.65,22.5%,Sim,2288.54
59005,Thiago Nunes,212.415.479-55,2024,362407.53,33411.75,34574.24,9068.55,8.72,Regular,2024-06-01,GO,Empregado CLT,7,58682.41,9511.31,22.5%,Sim,2215.17
91363,Thiago Nunes,811.945.877-51,2023,124265.55,4106.33,20497.09,14246.94,23.81,Notificação,2024-11-04,SP,Aposentado,8,41898.03,8943.31,22.5%,Sim,7592.91
35427,Paulo Henrique,217.609.554-44,2024,30588.61,8452.46,9358.29,38903.11,31.14,Notificação,2025-03-11,PE,Empresário,10,7221.37,8805.77,22.5%,Sim,2134.1
73505,Mariana Rocha,633.187.354-46,2022,111738.72,7123.83,31733.51,26355.26,15.24,Pendência,2024-07-28,SP,Empresário,6,51845.02,7941.17,27.5%,Sim,1471.86
19007,João Pereira,203.736.528-89,2023,419171.83,45599.44,3045.67,10973.09,14.43,Regular,2024-12-30,BA,Autônomo,3,54766.68,9356.15,27.5%,Sim,5846.89
95015,Eduardo Farias,713.669.154-82,2022,122535.63,6157.63,35630.24,8564.79,12.22,Notificação,2024-03-20,MG,Autônomo,8,2333.22,9412.37,15%,Não,4969.35
56167,Ana Clara Mendes,494.236.932-91,2022,258708.27,32584.76,6743.99,19239.63,20.02,Pendência,2024-07-17,AM,Autônomo,1,6947.34,9897.43,Isento,Sim,8595.22
86748,Lucas Oliveira,244.430.117-31,2022,362986.26,40599.78,3143.64,46138.86,39.17,Pendência,2024-07-24,RS,Aposentado,6,51959.84,4855.1,27.5%,Não,5054.53
16551,Gabriela Santos,187.154.926-35,2024,429184.17,18614.37,14317.1,40087.41,14.02,Auditoria,2024-06-29,CE,Empregado CLT,3,30742.47,4954.45,Isento,Sim,9604.93
24333,João Pereira,358.944.396-81,2024,136693.09,22499.13,758.74,4901.48,32.23,Regular,2024-04-28,RS,Aposentado,10,7795.51,822.35,7.5%,Não,446.86
96906,Ana Clara Mendes,508.241.803-28,2024,123319.8,6357.13,39690.34,31679.55,38.72,Regular,2024-09-14,ES,Autônomo,6,38031.4,869.79,15%,Não,9429.55
19859,Ana Clara Mendes,280.147.778-34,2022,358879.25,6934.86,34663.38,37397.9,39.41,Regular,2024-08-24,SP,Aposentado,8,50121.59,1258.14,27.5%,Sim,4304.06
27688,Paulo Henrique,252.103.651-60,2022,187690.34,2784.22,16958.9,9112.41,27.23,Pendência,2024-04-11,MT,Empresário,9,45732.97,8331.93,Isento,Não,5599.49
31053,Ana Clara Mendes,181.303.522-42,2024,157166.93,8678.75,10407.75,40739.43,17.19,Regular,2024-04-06,SP,Empresário,4,9345.76,7091.65,15%,Sim,7021.6
98077,Thiago Nunes,691.791.487-62,2023,66094.32,23472.04,40111.03,37726.95,35.07,Pendência,2024-09-28,CE,Autônomo,5,10309.67,3390.34,Isento,Sim,3377.79
98954,Lucas Oliveira,834.924.699-14,2024,227934.59,29855.28,32785.58,22101.11,17.75,Notificação,2024-12-10,SP,Autônomo,9,13367.29,3191.37,7.5%,Sim,1516.86
19993,Thiago Nunes,761.256.252-18,2023,67786.09,47256.42,32359.96,12391.12,7.85,Notificação,2024-11-10,SC,Aposentado,10,8070.51,5690.3,22.5%,Não,4552.55
27923,Ana Clara Mendes,169.568.503-75,2024,186480.71,25526.2,15567.12,20674.81,23.47,Regular,2024-07-18,PE,Empregado CLT,10,58646.45,5428.92,Isento,Sim,933.97
32355,Gabriela Santos,297.498.318-74,2022,108028.49,20620.95,23434.61,37016.79,31.14,Notificação,2025-02-06,BA,Empregado CLT,7,14819.97,6982.59,22.5%,Não,6028.92
85175,Lucas Oliveira,547.650.926-52,2022,92171.08,36638.81,11183.72,36411.93,15.74,Notificação,2024-06-05,SP,Empregado CLT,8,1506.84,4238.75,15%,Sim,4477.94
74905,Fernanda Lima,898.841.696-70,2023,60890.25,8739.83,37730.43,27318.77,26.34,Auditoria,2025-02-28,SC,Aposentado,3,15511.54,2901.38,7.5%,Não,9967.93
47043,Eduardo Farias,117.993.215-29,2024,219562.05,10678.46,16600.1,36541.5,30.8,Notificação,2024-09-09,PB,Empresário,7,18349.0,8194.18,7.5%,Não,8595.93
40458,Vanessa Almeida,203.945.907-45,2023,141443.87,23578.01,22772.06,35673.66,18.98,Regular,2024-10-07,GO,Empregado CLT,7,47327.35,5578.74,Isento,Sim,8550.41
15632,Lucas Oliveira,857.650.184-96,2023,117649.44,23668.14,21126.46,31803.5,7.07,Pendência,2024-03-25,GO,Autônomo,8,39858.24,4081.72,Isento,Sim,1534.51
52831,Carlos Silva,980.978.577-62,2023,330859.37,45386.36,30088.56,28432.24,18.25,Notificação,2025-02-22,ES,Empregado CLT,7,37528.29,1069.88,Isento,Sim,2574.99
62271,Carlos Silva,733.484.531-91,2024,354221.32,35544.78,29446.16,44202.67,36.74,Pendência,2024-09-22,DF,Autônomo,10,17464.0,3820.88,Isento,Não,3529.73
42014,Vanessa Almeida,516.111.297-58,2024,332414.93,48007.26,5271.55,39347.81,7.67,Auditoria,2024-09-01,PB,Investidor,6,54828.08,9962.3,Isento,Não,7372.9
16549,Eduardo Farias,861.278.205-21,2023,160790.41,30937.26,18359.06,37026.4,34.04,Pendência,2024-07-05,PB,Empresário,6,23080.27,9051.96,27.5%,Sim,668.15
16385,Thiago Nunes,341.138.429-49,2024,460176.25,38154.46,26388.29,44259.34,9.9,Auditoria,2024-05-20,GO,Aposentado,9,47540.86,4946.38,27.5%,Sim,3012.92
57546,Paulo Henrique,396.319.714-99,2023,469997.08,27397.31,39474.81,47559.66,9.68,Notificação,2024-04-28,PR,Empregado CLT,3,49145.66,1119.55,15%,Sim,7271.4
34117,Lucas Oliveira,466.354.403-52,2023,469896.27,20796.45,9608.48,23164.84,18.2,Notificação,2024-06-03,PE,Empresário,2,3106.94,7072.23,15%,Sim,269.71
18976,João Pereira,995.643.174-29,2024,300282.25,43999.83,1700.5,35986.97,24.94,Auditoria,2025-03-09,SC,Investidor,7,21451.29,7286.09,15%,Sim,5412.63
71788,Roberto Souza,571.122.389-86,2024,292327.7,2369.38,17731.02,22814.31,19.64,Auditoria,2024-09-16,ES,Aposentado,7,47902.94,2468.57,15%,Não,4146.86
91611,Gabriela Santos,282.454.878-58,2023,252898.28,32050.43,28154.23,30881.41,19.05,Notificação,2025-01-17,AM,Aposentado,9,37817.51,9553.2,27.5%,Sim,5832.26
27284,Gabriela Santos,709.809.685-15,2024,405129.05,40036.98,33090.29,39394.18,27.07,Notificação,2024-06-12,PR,Aposentado,5,2606.2,2152.8,Isento,Sim,5503.92
69457,Ana Clara Mendes,347.518.269-28,2024,185985.63,24636.08,13607.16,8560.27,10.98,Auditoria,2024-04-01,RJ,Aposentado,2,2715.66,4660.18,Isento,Sim,6341.2
69722,Carlos Silva,677.936.273-82,2023,363783.62,18601.95,21952.92,19035.67,31.73,Auditoria,2025-02-05,SC,Aposentado,8,58388.0,6265.57,7.5%,Sim,6836.08
78217,Ana Clara Mendes,293.963.327-67,2023,67304.65,17343.7,11973.39,47559.76,38.19,Pendência,2024-03-27,BA,Autônomo,0,56512.56,2344.05,22.5%,Não,1075.61
17638,João Pereira,649.815.542-30,2024,493414.01,16655.72,10395.75,4418.68,24.24,Pendência,2024-07-27,PR,Empresário,10,59097.45,1782.65,22.5%,Sim,8440.0
90745,Fernanda Lima,552.870.962-89,2023,141125.54,31746.14,25619.33,42597.4,6.14,Notificação,2025-03-04,PR,Empresário,6,12227.38,817.98,22.5%,Sim,6423.0
73015,João Pereira,159.661.149-58,2024,128330.82,7256.86,23546.57,37495.56,24.71,Auditoria,2024-07-01,PR,Empresário,2,56644.93,5315.57,Isento,Não,8222.09
49024,Gabriela Santos,726.741.898-28,2022,198143.94,31956.13,2788.69,2152.35,23.4,Regular,2024-08-21,MT,Investidor,8,57376.57,5828.16,27.5%,Não,6713.33
60459,Vanessa Almeida,398.609.678-64,2023,106383.81,3737.56,44075.99,38452.87,26.28,Pendência,2024-12-23,PE,Empregado CLT,4,48763.66,2975.06,Isento,Sim,9789.73
36777,Gabriela Santos,220.587.780-42,2024,43062.83,34406.46,1344.29,18432.56,20.6,Pendência,2024-06-26,BA,Aposentado,4,24466.84,8080.97,27.5%,Não,9170.92
90400,Lucas Oliveira,215.731.970-74,2022,237255.55,19435.49,21104.16,26467.93,27.07,Regular,2024-11-21,MG,Empregado CLT,0,6393.11,7999.06,Isento,Sim,3076.13
34405,Mariana Rocha,632.683.370-99,2023,199896.11,10086.33,22004.78,25274.17,16.9,Auditoria,2024-08-23,AM,Empregado CLT,1,58981.56,703.16,15%,Sim,4949.0
58356,Ana Clara Mendes,946.158.808-36,2022,258151.62,28890.52,8415.75,19687.26,24.03,Auditoria,2024-09-01,BA,Empregado CLT,8,41116.78,6758.39,15%,Não,7666.06
21444,Ana Clara Mendes,754.546.935-16,2024,355401.15,40099.07,11903.02,40570.7,39.19,Regular,2024-03-16,RJ,Investidor,3,47765.93,924.4,22.5%,Não,7347.14
11689,Paulo Henrique,639.682.623-24,2023,202427.92,49864.62,33148.92,34990.17,12.97,Auditoria,2024-10-08,BA,Empregado CLT,0,19905.03,6397.91,15%,Não,3122.62
74602,Lucas Oliveira,188.529.664-92,2022,364708.89,40966.01,25101.63,39041.58,23.77,Auditoria,2025-03-02,ES,Empregado CLT,8,24165.93,5070.44,7.5%,Não,1368.17
95029,Thiago Nunes,425.900.199-84,2022,135123.94,48224.28,8598.13,19550.46,8.64,Pendência,2025-01-28,GO,Autônomo,5,27392.38,584.23,Isento,Não,5578.71
97443,Carlos Silva,414.707.373-38,2022,154515.6,31602.36,11502.96,32748.91,37.01,Regular,2024-12-31,PB,Aposentado,6,50277.01,7991.1,Isento,Sim,9785.3
53014,João Pereira,381.181.301-18,2024,385327.34,48835.92,43962.86,37935.73,22.69,Pendência,2025-01-03,AM,Aposentado,0,35647.49,2393.17,22.5%,Não,7287.44
48228,Roberto Souza,905.194.680-91,2022,216649.51,23668.81,35292.55,12219.01,12.76,Pendência,2024-12-29,BA,Aposentado,9,32144.59,5003.78,15%,Não,5657.76
75996,Fernanda Lima,791.970.434-24,2022,391840.12,7345.78,34956.04,16668.99,38.18,Regular,2024-08-21,RS,Autônomo,2,33574.37,723.63,22.5%,Sim,5119.29
90712,Gabriela Santos,681.967.714-88,2024,475077.72,47297.45,3950.99,34277.13,33.04,Regular,2024-07-30,GO,Aposentado,6,14304.12,7630.51,22.5%,Não,2902.37
